season_number,episode_number,lipsync_song,song_author
1,1,Supermodel (You Better Work),RuPaul
1,2,We Break the Dawn,Michelle Williams
1,3,The Greatest Love of All,Whitney Houston
1,4,Would I Lie To You?,Eurythmics
1,5,Stronger,Britney Spears
1,6,Shackles (Praise You),Mary Mary
1,8,Cover Girl (Put the Bass in Your Walk),RuPaul
2,1,Cover Girl (Put the Bass in Your Walk),RuPaul
2,2,My Lovin' (You're Never Gonna Get It),En Vogue
2,3,I Hear You Knocking,Wynonna Judd
2,4,Two of Hearts,Stacey Q
2,5,Carry On,Martha Wash
2,6,Black Velvet,Alannah Myles
2,7,He's the Greatest Dancer,Sister Sledge
2,8,Shake Your Love,Debbie Gibson
2,9,Something He Can Feel,Aretha Franklin
2,11,Jealous of My Boogie (Gomi and RasJek Edit) ,RuPaul
3,2,The Right Stuff ,Vanessa Williams
3,3,Bad Romance ,Lady Gaga
3,4,Don't Leave Me This Way ,Thelma Houston
3,5,Meeting in the Ladies Room ,Klymaxx
3,6,Looking for a New Love,Jody Watley
3,7,Knock on Wood,Amii Stewart
3,8,MacArthur Park,Donna Summer
3,9,Mickey (Spanish version),Toni Basil
3,10,Believe,Cher
3,11,Even Angels,Fantasia Barrino
3,12,Straight Up,Paula Abdul
3,13,I Think About You ,Patti LaBelle
3,15,Champion (DJ BunJoe's Olympic Mix) ,RuPaul
4,1,Toxic ,Britney Spears
4,2,Bad Girls ,Donna Summer
4,3,This Will Be (An Everlasting Love) ,Natalie Cole
4,4,Trouble ,Pink
4,5,Vogue ,Madonna
4,6,Born This Way ,Lady Gaga
4,7,Mi Vida Loca (My Crazy Life) ,Pam Tillis
4,8,It's Raining Men (The Sequel) ,Martha Wash and RuPaul
4,9,I've Got to Use My Imagination ,Gladys Knight & The Pips
4,10,(You Make Me Feel Like) A Natural Woman ,Aretha Franklin
4,11,No One Else on Earth ,Wynonna Judd
4,13,Glamazon,RuPaul
5,1,Party in the U.S.A. ,Miley Cyrus
5,2,Only Girl (In the World) ,Rihanna
5,3,When I Grow Up ,The Pussycat Dolls
5,4,Oops!... I Did It Again ,Britney Spears
5,4,Oops!... I Did It Again ,Britney Spears
5,5,Take Me Home ,Cher
5,6,I'm So Excited ,The Pointer Sisters
5,7,Whip My Hair ,Willow Smith
5,8,Ain't Nothin' Goin' On but the Rent ,Gwen Guthrie
5,9,Cold Hearted ,Paula Abdul
5,10,Two to Make it Right ,Seduction
5,11,Malambo No. 1 ,Yma Sumac
5,12,The Beginning,RuPaul
6,1,Express Yourself,Madonna
6,2,Turn the Beat Around,Vicki Sue Robinson
6,3,Shake It Up,Selena Gomez
6,4,I'm Every Woman,Chaka Khan
6,5,Head to Toe,Lisa Lisa & Cult Jam
6,6,Whatta Man,Salt-n-Pepa with En Vogue
6,7,Point of No Return,Exposé
6,8,Stupid Girls,Pink
6,9,Vibeology,Paula Abdul
6,10,Think,Aretha Franklin
6,11,Stronger (What Doesn't Kill You),Kelly Clarkson
6,12,Sissy That Walk,RuPaul
7,1,Geronimo,RuPaul ft. Lucian Piane
7,2,Twist of Fate,Olivia Newton-John
7,3,I Was Gonna Cancel,Kylie Minogue
7,4,Dreaming,Blondie
7,5,Lovergirl,Teena Marie
7,6,Break Free,Ariana Grande ft. Zedd
7,7,No More Lies,Michel'le
7,8,I Think We're Alone Now,Tiffany
7,9,Really Don't Care,Demi Lovato ft. Cher Lloyd
7,10,Show Me Love,Robin S.
7,11,Roar,Katy Perry
7,12,Born Naked,RuPaul ft. Clairy Browne
8,1,Applause ,Lady Gaga
8,2,I Will Survive ,Gloria Gaynor
8,2,I Will Survive ,Gloria Gaynor
8,3,Mesmerized (Freemasons radio edit) ,Faith Evans
8,4,Call Me ,Blondie
8,5,Causing a Commotion ,Madonna
8,6,I Love It ,Icona Pop ft. Charli XCX
8,7,And I Am Telling You I'm Not Going ,Jennifer Holliday
8,8,You Make Me Feel (Mighty Real) ,Sylvester
8,9,The Realness ,RuPaul
9,2,Love Shack ,The B-52's
9,3,Holding Out for a Hero ,Bonnie Tyler
9,4,I Wanna Go ,Britney Spears
9,5,Woman Up ,Meghan Trainor
9,6,Music ,Madonna
9,7,Finally ,CeCe Peniston
9,8,Baby I'm Burning ,Dolly Parton
9,9,Greedy ,Ariana Grande
9,10,Cool for the Summer ,Demi Lovato
9,11,Macho Man ,Village People
9,12,U Wear It Well ,RuPaul
9,14,Stronger ,Britney Spears
9,14,So Emotional ,Whitney Houston
9,14,It's Not Right But It's Okay(Thunderpuss Remix) ,Whitney Houston
10,1,Ain't No Other Man ,Christina Aguilera
10,2,Best of My Love,The Emotions
10,3,Celebrity Skin,Hole
10,4,Pound the Alarm,Nicki Minaj
10,5,Man! I Feel Like a Woman!,Shania Twain
10,6,I'm Coming Out,Diana Ross
10,7,Cut To The Feeling ,Carly Rae Jepsen
10,8,Groove Is in the Heart ,Deee-Lite
10,9,New Attitude ,Patti Labelle
10,10,Good As Hell ,Lizzo
10,11,Nasty Girl ,Vanity 6
10,12,Call Me Mother ,RuPaul
10,14,Nasty ,Janet Jackson
10,14,If ,Janet Jackson
10,14,Bang Bang ,"Jessie J, Ariana Grande,and Nicki Minaj"
11,1,The Best of Both Worlds ,Hannah Montana
11,2,Work Bitch ,Britney Spears
11,3,Waiting for Tonight (Hex Hector Mix) ,Jennifer Lopez
11,4,Living in America ,James Brown
11,5,I'm Your Baby Tonight ,Whitney Houston
11,6,Last Dance ,Donna Summer
11,7,Strut ,Sheena Easton
11,8,Sorry Not Sorry ,Demi Lovato
11,9,Hood Boy ,Fantasia Barrino
11,10,No More Drama ,Mary J. Blige
11,11,No Scrubs ,TLC
11,12,Pride: A Deeper Love ,Aretha Franklin
11,14,Bootylicious ,Destiny’s Child
11,14,SOS ,Rihanna
11,14,The Edge of Glory ,Lady Gaga
